Crime Date,Agency,Description,Type,Group
4-24-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-22-17,NEWARK PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-21-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-20-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-20-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-18-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-17-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-15-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-12-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-12-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-12-17,NEWARK PD,Carrying a Concealed Deadly Weapon/Deadly Instrument/CCDW/CCDI,Weapons,WEAPONS
4-12-17,NEWARK PD,Possession of Weapon,Weapons,WEAPONS
4-06-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-06-17,UNIVERSITY OF DE. POLICE DEPT.,Driving Under the Influence/Liquor,Traffic,OTHER
4-06-17,UNIVERSITY OF DE. POLICE DEPT.,Moving Violation/Traffic,Traffic,OTHER
4-04-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-03-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-03-17,NEWARK PD,Marijuana/Possession,Drugs,DRUGS
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Conservation/Environment,Conservation,OTHER
4-01-17,NEWARK PD,Local Fugitive/Wanted,Local fugitive,OTHER
