Crime Date,Agency,Description,Type,Group
4-22-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-21-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-20-17,WILMINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
4-20-17,WILMINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
4-20-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-20-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-19-17,WILMINGTON PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-17-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-16-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-15-17,WILMINGTON PD,Larceny/From All Other Yards,Theft,PROPERTY
4-14-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,WILMINGTON PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,WILMINGTON PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-13-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-13-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-13-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-09-17,WILMINGTON PD,Larceny/From All Other Yards,Theft,PROPERTY
4-06-17,WILMINGTON PD,Vehicle Theft ,Vehicle theft,PROPERTY
4-05-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-05-17,WILMINGTON PD,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-03-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-03-17,WILMINGTON PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-02-17,WILMINGTON PD,Forcible Purse Snatch Street/Alley/Highway,Robbery,VIOLENT
4-01-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
