Crime Date,Agency,Description,Type,Group
3-30-17,HARRINGTON PD,Resisting Arrest,Obstruction of justice -- police,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,HARRINGTON PD,Traffic Offense/Free Text,Traffic,OTHER
