Crime Date,Agency,Description,Type,Group
4-25-17,HARRINGTON PD,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-25-17,HARRINGTON PD,Threat of Arson,Weapons,WEAPONS
4-24-17,HARRINGTON PD,False Fire Alarm,Disorderly conduct,OTHER
4-24-17,HARRINGTON PD,False Fire Alarm,Disorderly conduct,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-22-17,HARRINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-21-17,HARRINGTON PD,Domestic/Family/Verbal,Domestic,OTHER
4-20-17,HARRINGTON PD,Domestic/Family/Verbal,Domestic,OTHER
4-18-17,HARRINGTON PD,Larceny/From Building,Theft,PROPERTY
4-16-17,HARRINGTON PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-16-17,HARRINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-15-17,HARRINGTON PD,Larceny/From Building,Theft,PROPERTY
4-14-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-12-17,HARRINGTON PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-12-17,HARRINGTON PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-12-17,HARRINGTON PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-11-17,HARRINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-11-17,HARRINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-09-17,HARRINGTON PD,Larceny/From Building,Theft,PROPERTY
4-08-17,HARRINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-06-17,HARRINGTON PD,Conservation/Free Text,Conservation,OTHER
4-06-17,HARRINGTON PD,Cruelty To Animals, ,
4-06-17,HARRINGTON PD,Domestic/Family/Verbal,Domestic,OTHER
4-05-17,HARRINGTON PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-03-17,HARRINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-03-17,HARRINGTON PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-03-17,HARRINGTON PD,Larceny/From Building,Theft,PROPERTY
4-03-17,HARRINGTON PD,Larceny/From All Other Yards,Theft,PROPERTY
4-03-17,HARRINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-02-17,HARRINGTON PD,Aggravated Assault/Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-02-17,HARRINGTON PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-01-17,HARRINGTON PD,Mandatory Release Violation,Obstruction of justice -- courts,OTHER
3-31-17,HARRINGTON PD,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
3-30-17,HARRINGTON PD,Burglary/No Forced Entry/NonResidence,Burglary,PROPERTY
3-30-17,HARRINGTON PD,Damage/Public Property,Criminal mischief,OTHER
3-30-17,HARRINGTON PD,Larceny/From Building,Theft,PROPERTY
