Crime Date,Agency,Description,Type,Group
4-26-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-26-17,WILMINGTON PD,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-26-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-22-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-22-17,WILMINGTON PD,Larceny/Shoplifting,Theft,PROPERTY
4-16-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,WILMINGTON PD,Theft/Other Motor Vehicle ,Vehicle theft,PROPERTY
4-15-17,WILMINGTON PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-10-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-10-17,WILMINGTON PD,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-08-17,WILMINGTON PD,Damage/Public Property,Criminal mischief,OTHER
4-08-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-05-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-05-17,WILMINGTON PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-04-17,WILMINGTON PD,Invasion of Privacy/Free Text,Trespassing,OTHER
4-04-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-02-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-02-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-01-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-01-17,WILMINGTON PD,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-01-17,WILMINGTON PD,Conservation/Environment,Conservation,OTHER
4-01-17,WILMINGTON PD,Robbery/Gun Highway,Robbery,VIOLENT
4-01-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-01-17,WILMINGTON PD,Conservation/Environment,Conservation,OTHER
