Crime Date,Agency,Description,Type,Group
4-27-17,NEWARK PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-22-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-21-17,NEWARK PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-16-17,NEWARK PD,Larceny/From All Other Yards,Theft,PROPERTY
4-16-17,NEWARK PD,Larceny/From All Other Yards,Theft,PROPERTY
4-15-17,UNIVERSITY OF DE. POLICE DEPT.,Theft of Services From Building,Theft,PROPERTY
4-15-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Public Property,Criminal mischief,OTHER
4-14-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-13-17,ALCOHOL & TOBACCO ENFORCEMENT,Buy/Purchase/Give Liquor to Persons Underage,Liquor,OTHER
4-12-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-09-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Business Property,Criminal mischief,OTHER
4-08-17,NEWARK PD,Robbery/Strong-Arm Highway,Robbery,VIOLENT
4-06-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Traffic Offense/Free Text,Traffic,OTHER
4-01-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
3-31-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,IMPERSONATION,Fraud,OTHER
3-31-17,NEW CASTLE COUNTY PD,Receiving Stolen Property,Stolen property,OTHER
3-31-17,NEW CASTLE COUNTY PD,Receiving Stolen Property,Stolen property,OTHER
3-31-17,NEW CASTLE COUNTY PD,Receiving Stolen Property,Stolen property,OTHER
3-31-17,NEW CASTLE COUNTY PD,Receiving Stolen Property,Stolen property,OTHER
3-31-17,NEW CASTLE COUNTY PD,Receiving Stolen Property,Stolen property,OTHER
3-31-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
