Crime Date,Agency,Description,Type,Group
4-26-17,TROOP 6 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-20-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-20-17,TROOP 2 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-20-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-20-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-16-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-16-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-16-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-16-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-16-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-13-17,TROOP 6 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-13-17,TROOP 6 STATE POLICE,Loitering/Adult,Disorderly conduct,OTHER
4-06-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-06-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-06-17,TROOP 2 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
4-06-17,NEW CASTLE COUNTY PD,Burglary/Possession of Tools,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-06-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Larceny Controlled Substance Non Registered Facility,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-05-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-03-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-02-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-02-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-02-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
3-30-17,TROOP 2 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
