Crime Date,Agency,Description,Type,Group
4-26-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-26-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-26-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-26-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-26-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-25-17,WILMINGTON PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-25-17,WILMINGTON PD,Burglary/No Forced Entry/NonResidence,Burglary,PROPERTY
4-25-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-24-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-20-17,WILMINGTON PD,Theft/Other Motor Vehicle ,Vehicle theft,PROPERTY
4-19-17,WILMINGTON PD,Threat of Arson,Weapons,WEAPONS
4-19-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-19-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-19-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-19-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-19-17,WILMINGTON PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-19-17,WILMINGTON PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-19-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-18-17,CAPITOL POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-17-17,WILMINGTON PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-14-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-13-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-13-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-13-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-13-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-12-17,WILMINGTON PD,Larceny/Shoplifting,Theft,PROPERTY
4-12-17,WILMINGTON PD,Loitering/Adult,Disorderly conduct,OTHER
4-12-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-12-17,WILMINGTON PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-11-17,WILMINGTON PD,Larceny/From Shipment From All Other Yards,Theft,PROPERTY
4-11-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-10-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-10-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
