Crime Date,Agency,Description,Type,Group
4-07-17,WILMINGTON PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-07-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-07-17,WILMINGTON PD,Loitering/Adult,Disorderly conduct,OTHER
4-07-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-07-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-07-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,WILMINGTON PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-07-17,WILMINGTON PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-06-17,WILMINGTON PD,Obstructing a Court Order,Obstruction of justice -- courts,OTHER
4-05-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-04-17,CAPITOL POLICE,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-01-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-01-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-31-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-31-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-31-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,WILMINGTON PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
3-31-17,CAPITOL POLICE,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
