Crime Date,Agency,Description,Type,Group
4-26-17,NEWARK PD,Larceny/Shoplifting,Theft,PROPERTY
4-26-17,NEWARK PD,Public Order Crimes/Includes Official Misconduct,Public order,OTHER
4-23-17,NEWARK PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-23-17,NEWARK PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-21-17,NEWARK PD,Larceny/Shoplifting,Theft,PROPERTY
4-20-17,NEWARK PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-20-17,NEWARK PD,Soliciting Without a License,Soliciting,OTHER
4-15-17,NEWARK PD,Robbery/Strong-Arm Residence,Robbery,VIOLENT
4-15-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEWARK PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-14-17,NEWARK PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-13-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-13-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-11-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-10-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-10-17,NEWARK PD,Forgery/Check,Forgery,OTHER
4-08-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-06-17,NEWARK PD,Larceny/Shoplifting,Theft,PROPERTY
4-05-17,NEWARK PD,Larceny/Shoplifting,Theft,PROPERTY
4-03-17,NEWARK PD,Theft of Services From Building,Theft,PROPERTY
3-31-17,NEWARK PD,Robbery/Strong-Arm Bank,Robbery,VIOLENT
3-31-17,NEWARK PD,Obstructing a Criminal Investigation/Material Witness/Hindering Prosecution,Obstruction of justice -- police,OTHER
3-31-17,NEWARK PD,Traffic Offense/Free Text,Traffic,OTHER
3-30-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
