Crime Date,Agency,Description,Type,Group
4-11-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-11-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-10-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-09-17,NEWARK PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-09-17,NEWARK PD,Consumption of Liquor/Underage,Drunkeness,OTHER
4-09-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-08-17,NEWARK PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-08-17,UNIVERSITY OF DE. POLICE DEPT.,Possession of Stolen Property,Stolen property,OTHER
4-08-17,UNIVERSITY OF DE. POLICE DEPT.,Public Peace/Free Text/Criminal Nuisance,Disorderly conduct,OTHER
4-08-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-08-17,UNIVERSITY OF DE. POLICE DEPT.,Drunkenness/Adults Only,Drunkeness,OTHER
4-07-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-07-17,UNIVERSITY OF DE. POLICE DEPT.,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,UNIVERSITY OF DE. POLICE DEPT.,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,UNIVERSITY OF DE. POLICE DEPT.,Liquor/Underage Possession,Liquor,OTHER
4-07-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-07-17,UNIVERSITY OF DE. POLICE DEPT.,Liquor/Underage Possession,Liquor,OTHER
4-06-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-06-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/From Building,Theft,PROPERTY
4-05-17,NEWARK PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-05-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-05-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Private Property,Criminal mischief,OTHER
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Private Property,Criminal mischief,OTHER
4-05-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
4-04-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-03-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Private Property,Criminal mischief,OTHER
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Receiving Stolen Property,Stolen property,OTHER
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Private Property,Criminal mischief,OTHER
4-03-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
4-02-17,UNIVERSITY OF DE. POLICE DEPT.,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-02-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
3-30-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
