Crime Date,Agency,Description,Type,Group
4-27-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-27-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-27-17,NEWARK PD,Larceny/Bicycles,Theft,PROPERTY
4-27-17,UNIVERSITY OF DE. POLICE DEPT.,Local Fugitive/Wanted,Local fugitive,OTHER
4-27-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-26-17,UNIVERSITY OF DE. POLICE DEPT.,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-26-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/From Building,Theft,PROPERTY
4-24-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-24-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-24-17,UNIVERSITY OF DE. POLICE DEPT.,Possession of Drug Paraphernalia,Drugs,DRUGS
4-24-17,UNIVERSITY OF DE. POLICE DEPT.,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-23-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-23-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
4-22-17,NEWARK PD,Liquor/Underage Possession,Liquor,OTHER
4-22-17,NEWARK PD,Liquor/Free Text,Liquor,OTHER
4-22-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-22-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-22-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-22-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Private Property,Criminal mischief,OTHER
4-22-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-22-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-22-17,UNIVERSITY OF DE. POLICE DEPT.,Possession of Drug Paraphernalia,Drugs,DRUGS
4-21-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-21-17,NEWARK PD,Identity Theft, ,
4-21-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-21-17,UNIVERSITY OF DE. POLICE DEPT.,Arson/Apartments/Dormitories/Residential Criminal/Inhabited,Arson,ARSON
4-21-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-21-17,UNIVERSITY OF DE. POLICE DEPT.,Domestic/Non-Family/Verbal,Domestic,OTHER
4-21-17,UNIVERSITY OF DE. POLICE DEPT.,Domestic/Non-Family/Verbal,Domestic,OTHER
4-21-17,UNIVERSITY OF DE. POLICE DEPT.,Trespassing/Free Text,Trespassing,OTHER
4-20-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-20-17,UNIVERSITY OF DE. POLICE DEPT.,Possession of Drug Paraphernalia,Drugs,DRUGS
4-20-17,UNIVERSITY OF DE. POLICE DEPT.,Liquor/Underage Possession,Liquor,OTHER
4-19-17,NEWARK PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-19-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-19-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Bicycles,Theft,PROPERTY
4-19-17,UNIVERSITY OF DE. POLICE DEPT.,Domestic/Non-Family/Verbal,Domestic,OTHER
4-18-17,UNIVERSITY OF DE. POLICE DEPT.,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-18-17,UNIVERSITY OF DE. POLICE DEPT.,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-16-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-16-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Domestic/Non-Family/Verbal,Domestic,OTHER
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Delivery,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Delivery,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession with Intent to Deliver,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession with Intent to Deliver,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession with Intent to Deliver,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Amphetamine/Possession,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Non-Narcotic Tranquilizer and Depressant/Possession,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Non-Narcotic Tranquilizer and Depressant/Possession,Drugs,DRUGS
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Possession of Drug Paraphernalia,Drugs,DRUGS
4-15-17,UNIVERSITY OF DE. POLICE DEPT.,Consumption of Liquor/Underage,Drunkeness,OTHER
4-14-17,NEWARK PD,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-14-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,UNIVERSITY OF DE. POLICE DEPT.,Larceny/Shoplifting,Theft,PROPERTY
4-14-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-13-17,UNIVERSITY OF DE. POLICE DEPT.,Damage/Private Property,Criminal mischief,OTHER
4-13-17,UNIVERSITY OF DE. POLICE DEPT.,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-13-17,UNIVERSITY OF DE. POLICE DEPT.,Receiving Stolen Property,Stolen property,OTHER
4-12-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-12-17,NEWARK PD,Stalking/Other Assaults/Non-Aggravated,Assault,OTHER
4-12-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-11-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
