Crime Date,Agency,Description,Type,Group
4-24-17,CAMDEN PD,Larceny/Shoplifting,Theft,PROPERTY
4-23-17,TROOP 3 STATE POLICE,Simple Assault/Police Officer/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,TROOP 3 STATE POLICE,Resisting Arrest,Obstruction of justice -- police,OTHER
4-23-17,TROOP 3 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-23-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-23-17,TROOP 3 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-22-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-22-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-20-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-18-17,TROOP 3 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-18-17,TROOP 3 STATE POLICE,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-18-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-17-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-15-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,CAMDEN PD,Domestic/Family/Verbal,Domestic,OTHER
4-13-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-11-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-09-17,TROOP 3 STATE POLICE,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-09-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-08-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-07-17,TROOP 3 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-05-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-05-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-04-17,TROOP 3 STATE POLICE,Damage/Business Property,Criminal mischief,OTHER
4-04-17,TROOP 3 STATE POLICE,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-04-17,CAMDEN PD,Larceny/Shoplifting,Theft,PROPERTY
4-03-17,TROOP 3 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-03-17,TROOP 3 STATE POLICE,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-02-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-01-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
3-30-17,TROOP 3 STATE POLICE,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
