Crime Date,Agency,Description,Type,Group
4-20-17,TROOP 4 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-20-17,TROOP 4 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-20-17,TROOP 4 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-20-17,TROOP 4 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-20-17,TROOP 4 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-20-17,TROOP 4 STATE POLICE,Non-Moving Violation/Abandoned Vehicle/Tampering with Vehicle/Etc.,Traffic,OTHER
4-19-17,TROOP 5 STATE POLICE,Hit and Run,Traffic,OTHER
4-19-17,TROOP 5 STATE POLICE,Hit and Run,Traffic,OTHER
4-19-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-19-17,SEAFORD PD,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-17-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-16-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-16-17,SEAFORD PD,Destroying/Tampering Evidence,Obstruction of justice -- police,OTHER
4-16-17,SEAFORD PD,Trespassing/Free Text,Trespassing,OTHER
4-16-17,SEAFORD PD,Trespassing/Free Text,Trespassing,OTHER
4-15-17,SEAFORD PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-15-17,SEAFORD PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-15-17,SEAFORD PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,SEAFORD PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,SEAFORD PD,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-15-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-15-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-15-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-15-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-15-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-15-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-14-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-14-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,SEAFORD PD,Robbery/Gun Highway,Robbery,VIOLENT
4-12-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-12-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-11-17,TROOP 5 STATE POLICE,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-11-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-11-17,SEAFORD PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,SEAFORD PD,Cocaine/Possession,Drugs,DRUGS
4-10-17,SEAFORD PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-10-17,SEAFORD PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-10-17,SEAFORD PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-09-17,SEAFORD PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-09-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-08-17,SEAFORD PD,Embezzlement/Business Property,Embezzlement,OTHER
4-07-17,TROOP 5 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-07-17,TROOP 5 STATE POLICE,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-07-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-07-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-07-17,TROOP 5 STATE POLICE,Possession of Weapon,Weapons,WEAPONS
4-07-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-07-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-07-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-07-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-07-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-06-17,TROOP 5 STATE POLICE,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-06-17,SEAFORD PD,Cocaine/Possession,Drugs,DRUGS
4-06-17,SEAFORD PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-06-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-06-17,SEAFORD PD,Trespassing/Free Text,Trespassing,OTHER
4-05-17,TROOP 5 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-05-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-05-17,SEAFORD PD,Possession of Shoplifting Tools,Theft,PROPERTY
4-01-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-01-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
