Crime Date,Agency,Description,Type,Group
4-24-17,SEAFORD PD,Trespassing/Free Text,Trespassing,OTHER
4-24-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-21-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-21-17,SEAFORD PD,Possession of Counterfeit Document,Forgery,OTHER
4-21-17,SEAFORD PD,Drug Overdose/Illegal Substances,Drugs,DRUGS
4-19-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-19-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-16-17,SEAFORD PD,Obstructing Police/Hindering Police Officer/Free Text,Obstruction of justice -- police,OTHER
4-16-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-16-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-16-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-16-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-16-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-16-17,SEAFORD PD,Moving Violation/Traffic,Traffic,OTHER
4-16-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-16-17,SEAFORD PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,SEAFORD PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-14-17,SEAFORD PD,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-14-17,SEAFORD PD,Larceny/From Building,Theft,PROPERTY
4-14-17,SEAFORD PD,Larceny/From Building,Theft,PROPERTY
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-11-17,SEAFORD PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,SEAFORD PD,Larceny/Shoplifting,Theft,PROPERTY
4-08-17,SEAFORD PD,Heroin/Possession,Drugs,DRUGS
4-08-17,SEAFORD PD,Cocaine/Possession,Drugs,DRUGS
4-08-17,SEAFORD PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-08-17,SEAFORD PD,Larceny/From All Other Yards,Theft,PROPERTY
4-06-17,TROOP 4 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
4-06-17,TROOP 4 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
4-06-17,TROOP 4 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
4-06-17,TROOP 4 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-06-17,SEAFORD PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-04-17,SEAFORD PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-04-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-03-17,SEAFORD PD,Damage/Private Property,Criminal mischief,OTHER
4-02-17,SEAFORD PD,Theft/False Pretense or Promise,Fraud,OTHER
4-01-17,SEAFORD PD,Domestic/Family/Verbal,Domestic,OTHER
3-31-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
3-31-17,SEAFORD PD,Local Fugitive/Wanted,Local fugitive,OTHER
3-31-17,SEAFORD PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,SEAFORD PD,Damage/Private Property,Criminal mischief,OTHER
