Crime Date,Agency,Description,Type,Group
4-13-17,TROOP 7 STATE POLICE,Theft/Bus/Truck Locally Recovered,Vehicle theft,PROPERTY
4-12-17,ELLENDALE PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-12-17,ELLENDALE PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-12-17,ELLENDALE PD,Larceny/From Building,Theft,PROPERTY
4-12-17,ELLENDALE PD,Trespassing/Free Text,Trespassing,OTHER
4-06-17,ELLENDALE PD,Marijuana/Possession,Drugs,DRUGS
4-06-17,ELLENDALE PD,Local Fugitive/Wanted,Local fugitive,OTHER
