Crime Date,Agency,Description,Type,Group
4-14-17,NEW CASTLE COUNTY PD,Cruelty To Animals, ,
4-12-17,NEW CASTLE COUNTY PD,Damage/Business Property,Criminal mischief,OTHER
4-10-17,TROOP 6 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,TROOP 6 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,TROOP 6 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-10-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-06-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-05-17,TROOP 2 STATE POLICE,Heroin/Delivery,Drugs,DRUGS
4-05-17,TROOP 2 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
4-05-17,TROOP 2 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-04-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-02-17,TROOP 6 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-02-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-02-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-02-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-01-17,TROOP 6 STATE POLICE,Theft of Services From Building,Theft,PROPERTY
