Crime Date,Agency,Description,Type,Group
4-25-17,TROOP 2 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
4-24-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-24-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-24-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-24-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-24-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-19-17,NEW CASTLE COUNTY PD,Vehicle Theft ,Vehicle theft,PROPERTY
4-18-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-18-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-18-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-17-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,TROOP 2 STATE POLICE,Invasion of Privacy/Free Text,Trespassing,OTHER
4-14-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-13-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-10-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-08-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-08-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-08-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-08-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-08-17,NEW CASTLE COUNTY PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-07-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-06-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-06-17,TROOP 2 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-06-17,TROOP 2 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-05-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-05-17,NEW CASTLE COUNTY PD,Damage/Business Property,Criminal mischief,OTHER
4-05-17,NEW CASTLE COUNTY PD,Damage/Business Property,Criminal mischief,OTHER
4-05-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-04-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,NEW CASTLE COUNTY PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Possession of Weapon,Weapons,WEAPONS
4-03-17,TROOP 2 STATE POLICE,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-03-17,TROOP 2 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-03-17,TROOP 2 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-03-17,TROOP 2 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-03-17,TROOP 2 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-02-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 2 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
3-30-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
