Crime Date,Agency,Description,Type,Group
4-25-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-20-17,UNIVERSITY OF DE. POLICE DEPT.,IMPERSONATION,Fraud,OTHER
4-20-17,UNIVERSITY OF DE. POLICE DEPT.,Marijuana/Possession,Drugs,DRUGS
4-20-17,UNIVERSITY OF DE. POLICE DEPT.,Traffic Offense/Free Text,Traffic,OTHER
4-19-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-19-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-19-17,NEWARK PD,Domestic/Family/Verbal,Domestic,OTHER
4-13-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-13-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-06-17,DNREC-FISH & WILDLIFE NATURAL RESOURCES,Fishing Limitations,Conservation,OTHER
4-05-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
