Crime Date,Agency,Description,Type,Group
4-25-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-25-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-23-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/NonResidence,Burglary,PROPERTY
4-23-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-22-17,NEW CASTLE COUNTY PD,Larceny/From All Other Yards,Theft,PROPERTY
4-19-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-18-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-14-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-14-17,TROOP 6 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-13-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-12-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-12-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-10-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-10-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-10-17,TROOP 6 STATE POLICE,Resisting Arrest,Obstruction of justice -- police,OTHER
4-10-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-08-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,TROOP 6 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-05-17,TROOP 6 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-05-17,TROOP 6 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
4-04-17,TROOP 6 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-04-17,TROOP 6 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
4-04-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-02-17,TROOP 6 STATE POLICE,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-02-17,TROOP 6 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
