Crime Date,Agency,Description,Type,Group
4-21-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-21-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-30-17,NEW CASTLE COUNTY PD,Obstructing a Court Order,Obstruction of justice -- courts,OTHER
3-30-17,NEW CASTLE COUNTY PD,Obstructing a Court Order,Obstruction of justice -- courts,OTHER
