Crime Date,Agency,Description,Type,Group
4-25-17,WILMINGTON PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-25-17,WILMINGTON PD,Receiving Stolen Property,Stolen property,OTHER
4-23-17,WILMINGTON PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-23-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-23-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-22-17,WILMINGTON PD,Robbery/Gun Convenience Store,Robbery,VIOLENT
4-22-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-22-17,WILMINGTON PD,Wearing a Disguise During the Commission of a Felony,Fraud,OTHER
4-22-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-17-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-17-17,WILMINGTON PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-17-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-15-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-11-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-10-17,WILMINGTON PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-10-17,WILMINGTON PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-09-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-08-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-07-17,WILMINGTON PD,Domestic/Family/Verbal,Domestic,OTHER
4-05-17,WILMINGTON PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-03-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-02-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
3-30-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
