Crime Date,Agency,Description,Type,Group
4-26-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-26-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-24-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-21-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-20-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-18-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-17-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-17-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-13-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-13-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-11-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-09-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-08-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-04-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-04-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
3-30-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
